code,title,affectedPart,severity,problem,symptoms,actions,location
P0505,"Idle Control System Malfunction","Idle Air Control (IAC) Valve","warning","The Engine Control Unit (ECU) is unable to maintain the commanded engine idle speed.","Rough or erratic idle; Engine stalls at idle; High idle RPM","Clean IAC valve; Check for vacuum leaks; Test IAC valve operation, replace if faulty","Throttle body"
P0562,"System Voltage Low","Battery / Charging System","warning","The Engine Control Unit (ECU) detects that the system voltage is below a specified threshold for a sustained period.","Dim lights; Difficulty starting; Electrical component malfunctions","Check battery condition and terminals; Inspect alternator/stator output; Check for parasitic drains","Battery, alternator/stator"
P0563,"System Voltage High","Voltage Regulator / Alternator","warning","The Engine Control Unit (ECU) detects that the system voltage is above a specified threshold for a sustained period.","Bulbs burning out; Overcharging battery; Damage to electrical components","Check voltage regulator; Inspect alternator/stator; Test battery for overcharging","Voltage regulator, alternator/stator"
P0601,"Internal Control Module Memory Check Sum Error","Engine Control Unit (ECU)","critical","An internal error has been detected in the Engine Control Unit's (ECU) memory.","Engine won't start; Intermittent engine operation; Multiple DTCs","Check ECU power and ground; Attempt ECU software reflash; Replace ECU","Under seat or fairing"
P0615,"Starter Relay Circuit","Starter Relay","critical","The Engine Control Unit (ECU) detects a fault in the electrical circuit controlling the starter relay.","Engine won't crank; No starter motor engagement","Check starter relay fuse; Test starter relay for continuity; Inspect wiring to starter relay","Near battery or fuse box"
P0627,"Fuel Pump 'A' Control Circuit/Open","Fuel Pump","critical","The Engine Control Unit (ECU) has detected an open circuit in the control circuit for the fuel pump.","Engine cranks but won't start; Engine stalls; Loss of fuel pressure","Check fuel pump fuse and relay; Inspect wiring to fuel pump; Test fuel pump for operation","Fuel tank"
P0650,"Malfunction Indicator Lamp (MIL) Control Circuit","Malfunction Indicator Lamp (MIL)","info","The Engine Control Unit (ECU) detects a fault in the electrical circuit that controls the Check Engine Light on the instrument cluster.","MIL does not illuminate; MIL stays on constantly","Check MIL bulb/LED; Inspect wiring to instrument cluster; Test instrument cluster for fault","Instrument cluster"
P0700,"Transmission Control System Malfunction","Transmission Control Unit (TCU)","warning","A general fault has been detected within the transmission control system. Specific transmission codes may also be present.","Harsh shifting; Transmission limp mode; Inability to shift gears","Check TCU wiring and connectors; Scan for specific transmission sub-codes; Consult BMW diagnostic tool","Under seat or fairing, near ECU"
P1600,"EWS Control Module Malfunction (BMW Specific)","Electronic Immobilizer (EWS)","critical","The Engine Control Unit (ECU) cannot communicate with or authenticate through the Electronic Immobilizer system.","Engine cranks but won't start; Key not recognized; Security light flashes","Check EWS module wiring; Try spare key; Reset EWS system with diagnostic tool","Under seat or fairing, near ECU"
2772,"Lambda Sensor Signal","Oxygen Sensor (Lambda Sensor)","warning","The Lambda sensor provides incorrect voltage readings to the ECU, indicating an improper air-fuel mixture.","Increased fuel consumption; Poor engine performance; MIL illumination","Check sensor wiring for damage; Verify sensor operation with multimeter; Replace Lambda sensor","Exhaust pipe, before catalytic converter"
2773,"Lambda Sensor Heater","Oxygen Sensor (Lambda Sensor)","warning","The heating element within the Lambda sensor is not functioning, preventing it from reaching optimal operating temperature quickly.","Increased fuel consumption; Delayed closed-loop operation; MIL illumination","Check sensor heater wiring; Test heater resistance; Replace Lambda sensor","Exhaust pipe, before catalytic converter"
28B2,"Idle Actuator Malfunction","Idle Actuator / Stepper Motor","warning","The idle actuator is unable to control the engine's idle speed effectively, possibly due to mechanical or electrical failure.","Erratic idle; Engine stalls at idle; High idle RPM","Clean idle actuator; Check wiring and connector; Test actuator operation, replace if faulty","Throttle body"
2731,"Fuel Pump Relay Malfunction","Fuel Pump Relay","critical","The fuel pump relay is not activating or deactivating the fuel pump as commanded by the ECU.","Engine cranks but won't start; Engine stalls; No fuel pump prime sound","Check relay fuse; Test fuel pump relay; Inspect wiring to relay","Near battery or fuse box"
2781,"Camshaft Position Sensor","Camshaft Position Sensor (CMS)","warning","The Camshaft Position Sensor is sending an inconsistent or absent signal to the ECU.","Long crank times; Reduced engine power; Poor fuel economy","Check CMS wiring and connector; Test CMS resistance; Replace CMS if faulty","Cylinder head, near camshaft"
2780,"Crankshaft Position Sensor","Crankshaft Position Sensor (CPS)","critical","The Crankshaft Position Sensor is sending an inconsistent or absent signal to the ECU, preventing accurate engine timing.","Engine cranks but won't start; Engine stalls; Intermittent loss of power","Check CPS wiring and connector; Test CPS resistance; Replace CPS if faulty","Lower engine block, near crankshaft"
27C1,"Throttle Position Sensor","TPS Sensor","warning","The Throttle Position Sensor (TPS) signal is outside the expected range or is erratic.","Erratic idle; Poor acceleration; Engine limp mode","Check TPS wiring and connector; Adjust TPS calibration; Replace TPS if faulty","Throttle body"
27E1,"EWS Communication Error","Electronic Immobilizer (EWS)","critical","The Engine Control Unit (ECU) is unable to establish communication with the Electronic Immobilizer (EWS) module.","Engine cranks but won't start; Key not recognized; Security light flashes","Check EWS module wiring; Verify key programming; Consult BMW diagnostic tool for EWS reset","Under seat or fairing, near ECU"
2186,"Front Wheel Speed Sensor","ABS Wheel Speed Sensor - Front","critical","The front wheel speed sensor is sending an incorrect or no signal to the ABS/ASC control unit.","ABS/ASC warning light; Speedometer malfunction; Reduced braking efficiency","Check sensor wiring and connector; Clean sensor and tone ring; Replace front wheel speed sensor","Front wheel hub"
2187,"Rear Wheel Speed Sensor","ABS Wheel Speed Sensor - Rear","critical","The rear wheel speed sensor is sending an incorrect or no signal to the ABS/ASC control unit.","ABS/ASC warning light; Speedometer malfunction; Reduced braking efficiency","Check sensor wiring and connector; Clean sensor and tone ring; Replace rear wheel speed sensor","Rear wheel hub"
2188,"ABS System Pressure Sensor","ABS Hydraulic Unit","critical","The ABS hydraulic unit's internal pressure sensor is reporting an abnormal reading.","ABS/ASC warning light; Reduced braking performance; Stiff brake lever/pedal","Check ABS unit wiring; Bleed ABS system; Replace ABS hydraulic unit","Under seat or fairing, within ABS unit"
2189,"ABS Pump Motor","ABS Hydraulic Unit","critical","The electric pump motor within the ABS hydraulic unit is not functioning correctly.","ABS/ASC warning light; No ABS intervention; Spongy brake feel","Check ABS pump motor relay/fuse; Test pump motor power supply; Replace ABS hydraulic unit","Under seat or fairing, within ABS unit"
A010,"Ambient Temperature Sensor","Ambient Air Temperature Sensor","info","The ambient air temperature sensor is sending an implausible or absent signal to the instrument cluster.","Incorrect outside temperature display; Possible cold start enrichment issues","Check sensor wiring and connector; Test sensor resistance; Replace ambient temperature sensor","Front fairing or headlight assembly"
A020,"Fuel Level Sensor","Fuel Level Sensor","warning","The fuel level sensor in the fuel tank is providing an inaccurate or no reading to the instrument cluster.","Inaccurate fuel gauge; Fuel warning light malfunction","Check sensor wiring and connector; Remove and inspect fuel level sender unit; Replace fuel level sensor","Inside fuel tank"
E580,"Gear Position Sensor Malfunction","Gear Position Sensor","warning","The gear position sensor is sending an inconsistent or absent signal to the ECU/instrument cluster.","Incorrect gear display; Hard shifting; Engine may stall at idle","Check sensor wiring and connector; Clean sensor; Replace gear position sensor","Transmission side cover"
F000,"Instrument Cluster Internal Fault","Instrument Cluster (KOMBI)","critical","An internal malfunction has been detected within the instrument cluster itself.","Gauge malfunction; Warning lights erratic; Display issues","Check cluster power and ground; Attempt firmware update if available; Replace instrument cluster","Dashboard"
P0571,"Cruise Control/Brake Switch 'A' Circuit Malfunction","Brake Light Switch / Cruise Control Switch","warning","The Engine Control Unit (ECU) detects a fault in the circuit for the brake light switch, which can affect cruise control.","Cruise control inoperative; Brake lights stay on/off; ABS/ASC malfunction","Check brake light switch adjustment; Inspect switch wiring; Replace brake light switch","Brake lever/pedal"
P0606,"PCM Processor Fault","Engine Control Unit (ECU)","critical","An internal error has occurred within the main processor of the Engine Control Unit (ECU).","Engine won't start; Engine stalls; Intermittent severe performance issues","Check ECU power and ground; Attempt ECU software reflash; Replace ECU","Under seat or fairing"
P0530,"A/C Refrigerant Pressure Sensor 'A' Circuit","N/A (Not applicable to motorcycles)","info","This code is typically for automotive AC systems. If seen on a motorcycle, it likely indicates a misdiagnosis or an unusual variant of the ECU mapping where a sensor input is misidentified.","No specific symptoms for motorcycle","Verify diagnostic tool compatibility; Check for any custom wiring or sensor additions; Ignore if irrelevant","N/A"
P2100,"Throttle Actuator Control Motor Circuit Open","Throttle Body Actuator","warning","The Engine Control Unit (ECU) detects an open circuit in the electrical control of the throttle actuator motor.","Engine in limp mode; Reduced throttle response; Engine stalls","Check wiring to throttle body; Test actuator motor resistance; Replace throttle body (often integrated)","Throttle body"
P2101,"Throttle Actuator Control Motor Performance","Throttle Body Actuator","warning","The Engine Control Unit (ECU) detects that the throttle actuator motor is not performing as commanded, possibly due to a mechanical issue.","Erratic throttle response; Engine in limp mode; Rough idle","Check for mechanical binding in throttle body; Clean throttle body; Replace throttle body (often integrated)","Throttle body"
