code,title,affectedPart,severity,problem,symptoms,actions,location
34,Exhaust Gas Control Valve (EGCV) Malfunction,EGCV / EXCV Motor,warning,"The ECM detects an issue with the exhaust valve control system, often indicating a problem with the motor or cables that operate the valve in the exhaust pipe.",Reduced high-RPM power; Erratic exhaust note; Check engine light,Inspect valve cables for binding; Check EGCV motor wiring; Recalibrate or replace EGCV motor,"EGCV motor usually under the seat or side panel, connected by cables to the valve in the exhaust."
38,Secondary Air Supply Solenoid Valve (PAIR) Malfunction,PAIR Valve,info,"The ECM detects a malfunction in the Secondary Air Injection (PAIR) system solenoid valve, which injects fresh air into the exhaust to burn unburnt hydrocarbons.",Increased emissions; Slightly reduced fuel economy; No noticeable performance impact,Check solenoid wiring and connector; Test solenoid operation; Inspect PAIR system hoses for leaks,Located on the engine, connected to the airbox and exhaust ports.
41,Fuel Pump Relay Malfunction,Fuel Pump Relay,critical,"The ECM detects an issue with the fuel pump relay circuit, preventing the fuel pump from receiving power.",Engine no-start; Engine stalls; No fuel pump prime sound,Check relay wiring; Test relay continuity; Replace fuel pump relay,Typically located in the fuse box or near the battery.
86,ABS System Malfunction,ABS Control Unit / Wheel Speed Sensor,critical,"The Anti-lock Braking System (ABS) control unit detects an internal fault or an issue with one of its wheel speed sensors, disabling the ABS function.",ABS warning light on; Brakes feel normal but without ABS; Hard braking can lock wheels,Check wheel speed sensor wiring; Clean wheel speed sensors; Perform ABS diagnostic procedure,ABS control unit usually under the seat; Wheel speed sensors at each wheel.
90,Throttle By Wire (TBW) System Malfunction,TBW Actuator / Sensor,critical,"The ECM detects a malfunction in the electronic throttle control system, which controls the throttle plate without a physical cable.",No throttle response; Engine enters 'limp home' mode; Erratic engine speed,Inspect TBW sensor wiring; Check throttle plate for binding; Recalibrate or replace TBW components,TBW sensors/actuator integrated with the throttle body.
95,Electronic Throttle Control System (ETCS) Relay Malfunction,ETCS Relay,critical,"The ECM detects an issue with the ETCS relay circuit, which supplies power to the electronic throttle control system components.",Engine no-start; No throttle response; Engine stalls,Check ETCS relay wiring; Test relay functionality; Replace ETCS relay,Typically located in the fuse box or near the battery.
96,Electronic Throttle Control System (ETCS) Motor Malfunction,ETCS Motor,critical,"The ECM detects a malfunction in the ETCS motor that physically moves the throttle plate.",No throttle response; Engine enters 'limp home' mode; Check engine light and reduced power,Inspect ETCS motor wiring; Check throttle body for obstructions; Replace throttle body assembly if motor is integrated,Integrated into the throttle body assembly.
P0107,MAP Sensor Circuit Low Input,MAP Sensor,warning,"The ECM detects a voltage signal from the MAP sensor that is consistently lower than the expected range, indicating a potential sensor failure or wiring issue (e.g., short to ground).",Engine hesitation; Poor acceleration; Rich fuel mixture,Check MAP sensor wiring for shorts; Test sensor voltage output; Replace MAP sensor if readings are incorrect,"On the intake manifold, connected by a vacuum hose."
P0108,MAP Sensor Circuit High Input,MAP Sensor,warning,"The ECM detects a voltage signal from the MAP sensor that is consistently higher than the expected range, indicating a potential sensor failure or wiring issue (e.g., open circuit or short to power).",Rough idle; Lean fuel mixture; Reduced engine power,Check MAP sensor wiring for opens; Test sensor voltage output; Verify vacuum line integrity,"On the intake manifold, connected by a vacuum hose."
P0113,IAT Sensor Circuit High Input,IAT Sensor,warning,"The ECM detects a voltage signal from the IAT sensor that is consistently higher than expected, suggesting an open circuit or faulty sensor reading cold.",Rich fuel mixture; Reduced fuel economy; Hard starting in warm weather,Check IAT sensor wiring for opens; Test sensor resistance; Replace IAT sensor,Located in the airbox or intake manifold.
P0118,ECT Sensor Circuit High Input,ECT Sensor,warning,"The ECM detects a voltage signal from the ECT sensor that is consistently higher than expected, indicating an open circuit or a faulty sensor reading cold.",Engine runs rich; Overheating potential; Poor cold start performance,Check ECT sensor wiring for opens; Test sensor resistance; Replace ECT sensor,Screwed into the cylinder head or thermostat housing.
P0122,TP Sensor Circuit Low Input,TP Sensor,critical,"The ECM detects a voltage signal from the TP sensor that is consistently lower than the expected range, often indicating a short to ground or a faulty sensor.",Reduced throttle response; Engine stalls; Erratic idle,Check TP sensor wiring for shorts; Verify sensor power and ground; Adjust or replace TP sensor,Attached directly to the throttle body shaft.
P0123,TP Sensor Circuit High Input,TP Sensor,critical,"The ECM detects a voltage signal from the TP sensor that is consistently higher than the expected range, often indicating an open circuit or faulty sensor.",Engine surging; Poor acceleration; Limp home mode,Check TP sensor wiring for opens; Verify sensor calibration; Replace TP sensor,Attached directly to the throttle body shaft.
P0171,System Too Lean (Bank 1),Fuel System / Intake System,warning,"The ECM detects that the engine is running consistently too lean (too much air, not enough fuel) in Bank 1, often due to vacuum leaks, low fuel pressure, or faulty O2 sensor.",Engine hesitation; Poor acceleration; Hard starting,Check for vacuum leaks; Inspect fuel pressure; Test O2 sensor functionality,"Engine compartment, affecting intake manifold, fuel lines, or exhaust."
P0172,System Too Rich (Bank 1),Fuel System / Exhaust System,warning,"The ECM detects that the engine is running consistently too rich (too much fuel, not enough air) in Bank 1, often due to leaky injectors, high fuel pressure, or faulty O2 sensor.",Poor fuel economy; Black smoke from exhaust; Rough idle,Check fuel injectors for leaks; Verify fuel pressure regulator; Test O2 sensor functionality,"Engine compartment, affecting fuel injectors, fuel lines, or exhaust."
P0201,Injector Circuit Malfunction - Cylinder 1,Fuel Injector 1,critical,"The ECM detects an electrical fault (open or short) in the control circuit for the fuel injector of cylinder 1.",Engine misfire; Reduced power; Engine running on fewer cylinders,Check injector harness continuity; Test injector resistance; Swap injector to verify fault,"Mounted in the throttle body or intake runner, above the intake valve for cylinder 1."
P0230,Fuel Pump Primary Circuit Malfunction,Fuel Pump Relay / Wiring,critical,"The ECM detects an electrical fault in the primary control circuit for the fuel pump relay, preventing the fuel pump from operating.",Engine no-start; Cranks but no start; No fuel pump prime sound,Check fuel pump relay wiring; Test fuel pump relay; Inspect fuse for fuel pump,Fuel pump relay typically in fuse box; Fuel pump in the fuel tank.
P0335,Crankshaft Position (CKP) Sensor 'A' Circuit Malfunction,CKP Sensor,critical,"The ECM is not receiving a proper signal from the CKP sensor, which is essential for determining engine speed and piston position for ignition and fuel timing.",Engine no-start; Cranks but no start; Intermittent engine cut-out,Inspect sensor wiring; Check sensor for metallic debris; Test sensor output signal,"Mounted near the crankshaft, usually on the engine case, often behind a cover."
P0340,Camshaft Position (CMP) Sensor Circuit Malfunction,CMP Sensor,critical,"The ECM is not receiving a proper signal from the CMP sensor, which synchronizes fuel injection and ignition timing with the camshaft position.",Engine no-start; Cranks but no start; Misfire,Inspect sensor wiring; Check sensor air gap and debris; Test sensor output signal,"Located on the cylinder head, near the camshaft."
P0500,Vehicle Speed Sensor (VSS) Malfunction,VSS,warning,"The ECM is not receiving a correct speed signal from the VSS, affecting speedometer operation and various engine management functions.",Speedometer not working; Inconsistent idle; Poor gear shifts (automatic),Check VSS wiring and connector; Inspect VSS for damage or debris; Replace VSS,On the transmission output shaft or front/rear wheel speed sensor (ABS type).
P0505,Idle Control System RPM Malfunction,IAC Valve / Throttle Body,warning,"The ECM detects that the engine idle speed is not within the specified range, often due to issues with the Idle Air Control system or vacuum leaks.",Unstable idle; Engine stalls when coming to a stop; High idle,Check for vacuum leaks; Clean IAC valve; Adjust idle screw (if applicable),IAC valve on or near the throttle body; Vacuum lines around the intake manifold.
P0560,System Voltage Malfunction,Battery / Charging System,critical,"The ECM detects that the motorcycle's system voltage is outside the normal operating range, indicating issues with the battery or charging system.",Dim lights; Battery not charging; Engine difficult to start,Check battery voltage and terminals; Test rectifier/regulator; Inspect stator output,Battery under the seat; Rectifier/regulator typically near the battery or under a side panel; Stator inside the left engine cover.
P0601,Internal Control Module Memory Check Sum Error,Engine Control Module (ECM),critical,"The ECM has detected an internal error in its read-only memory (ROM) or random-access memory (RAM), indicating a fundamental fault within the ECM itself.",Engine no-start; Intermittent engine operation; Multiple unrelated DTCs,Check ECM power and ground connections; Inspect for moisture ingress at ECM; ECM replacement often required,"Typically located under the seat, behind a side panel, or in the fairing."
P1607,ECM Internal Circuit Malfunction,Engine Control Module (ECM),critical,"A Honda-specific P-code indicating an internal fault or processing error within the ECM. This can affect various engine management functions.",Engine no-start; Intermittent power loss; Erratic engine behavior,Check ECM connectors for corrosion; Verify all ECM power/ground wires; ECM replacement typically needed,"Typically located under the seat, behind a side panel, or in the fairing."
P1608,ECM Internal Circuit Malfunction - Sensor Power,Engine Control Module (ECM) / Sensor Power Supply,critical,"A Honda-specific P-code indicating an internal fault within the ECM related to its ability to supply stable reference voltage to various sensors.",Multiple sensor-related DTCs; Engine no-start; Engine stalls,Check for shorted sensor wiring; Verify ECM power/ground; ECM replacement typically needed,"Typically located under the seat, behind a side panel, or in the fairing."
P0650,MIL Control Circuit Malfunction,Malfunction Indicator Lamp (MIL) / ECM,info,"The ECM has detected an issue with the circuit that controls the Malfunction Indicator Lamp, meaning the 'Check Engine' light itself might not be functioning correctly.",MIL light not illuminating when it should; MIL light staying on constantly; No clear diagnostic indication,Check MIL bulb/LED; Inspect MIL wiring harness; Test ECM output to MIL,Instrument cluster.
