code,brand,title,affectedPart,severity,problem,symptoms,actions,location
P0261,generic,Cylinder 1 Injector Circuit Low,Fuel Injector (Cylinder 1),critical,The ECU detected low voltage or a short to ground in the fuel injector circuit for cylinder 1.,Engine misfire on cylinder 1; Loss of power; Strong fuel smell; Rough idle,Check injector wiring harness for damage; Test injector resistance (typically 11–16 Ω); Check ECU injector driver output; Clean or replace fuel injector,"Attached to the intake manifold, spraying into the cylinder head."
P0262,generic,Cylinder 1 Injector Circuit High,Fuel Injector (Cylinder 1),critical,The ECU detected high voltage or open circuit in the fuel injector circuit for cylinder 1.,Engine misfire; Hard starting; Engine runs on fewer cylinders,Check injector connector and pins; Test injector coil resistance; Inspect wiring for open circuit; Replace injector if open coil,Attached to the intake manifold.
P0300,generic,Random / Multiple Cylinder Misfire,Ignition / Fuel System,critical,The ECU has detected misfires in multiple or random cylinders, indicating a general ignition or fuel system problem.,Rough idle; Vibration; Loss of power; Check engine light flashing; Backfiring,Check spark plugs – replace if worn; Inspect ignition coil(s); Check fuel pressure; Inspect injectors; Check compression,Engine cylinder area.
P0301,generic,Cylinder 1 Misfire Detected,Spark Plug / Ignition Coil (Cyl 1),critical,The ECU has detected a misfire on cylinder 1 specifically.,Rough idle at low RPM; Loss of power on cylinder 1; Backfiring; Increased emissions,Replace spark plug on cylinder 1; Test ignition coil for cylinder 1; Check fuel injector on cylinder 1; Perform compression test on cylinder 1,"Cylinder head, cylinder 1."
P0335,generic,Crankshaft Position Sensor 'A' Circuit,Crankshaft Position Sensor (CKP),critical,The ECU is not receiving a valid signal from the crankshaft position sensor.,Engine won't start; Engine stalls unexpectedly; Backfiring; No spark,Check CKP sensor air gap (typically 0.5–1.5 mm); Inspect sensor wiring harness for damage; Clean debris from sensor tip and reluctor ring; Replace CKP sensor,Near the crankshaft pulley or stator on the engine casing.
P0336,generic,Crankshaft Position Sensor 'A' Range/Performance,Crankshaft Position Sensor (CKP),critical,The CKP sensor signal is erratic or intermittent — detected but not within expected parameters.,Hard starting; Stalling at idle; Erratic idle; Intermittent engine cut-out,Check CKP sensor gap — too close or too far causes erratic signal; Inspect reluctor ring for damage or missing teeth; Check wiring for intermittent fault; Replace sensor,Near the crankshaft pulley or stator.
P0340,generic,Camshaft Position Sensor 'A' Circuit,Camshaft Position Sensor (CMP),critical,The ECU is not receiving a signal from the camshaft position sensor.,Engine won't start; Engine stalling; Timing-related misfires; Poor power,Check CMP sensor wiring; Inspect sensor mounting and gap; Verify sensor target wheel condition; Replace CMP sensor,Near the cam sprocket or valve cover.
P0341,generic,Camshaft Position Sensor 'A' Range/Performance,Camshaft Position Sensor (CMP),critical,The camshaft position sensor signal is erratic or out of expected range.,Rough running; Poor timing; Hesitation; Intermittent stalling,Check target wheel for debris or damage; Inspect sensor gap; Test sensor output with oscilloscope; Replace CMP sensor,Near the cam sprocket or valve cover.
P0562,generic,System Voltage Low,Battery / Charging System,warning,The electrical system voltage has dropped below the required threshold for normal ECU operation.,Dim lights; Electrical systems cutting out; ECU resets; Battery warning light,Test battery voltage (should be 12.6V+ at rest); Check charging system – test stator output; Inspect voltage regulator/rectifier; Check all ground connections; Replace battery if below 12V,"Battery, stator, voltage regulator/rectifier."
P0563,generic,System Voltage High,Voltage Regulator / Rectifier,warning,The electrical system voltage is above the safe operating threshold, indicating overcharging.,Lights burning out frequently; Battery damage; Electronic component failures,Test voltage regulator output (should be 13.5–14.5V); Replace faulty voltage regulator/rectifier; Check stator windings; Test battery condition,Usually mounted with fins for cooling, near battery or frame.
P0500,generic,Vehicle Speed Sensor Malfunction,Vehicle Speed Sensor (VSS),info,The ECU is not receiving a valid signal from the vehicle speed sensor.,Speedometer not working or erratic; ABS warning light; Poor idle control; Gear shift indicator not working,Check speed sensor at rear wheel or gearbox output; Clean sensor tip and tone ring; Inspect wiring harness; Replace VSS if faulty,At the rear wheel hub or gearbox output shaft.
P0505,generic,Idle Control System Malfunction,Idle Air Control (IAC) / Throttle Body,warning,The idle air control system is not maintaining the correct idle speed.,High idle speed; Low/rough idle; Idle hunting (fluctuating); Stalling at stops,Clean idle air control valve or stepper motor; Check throttle body for carbon deposits; Inspect idle speed bypass air circuit; Check TPS adjustment; Replace IAC valve if failed,On or near the throttle body.
P0601,generic,Internal Control Module Memory Check Sum Error,ECU / Engine Control Unit,critical,The ECU internal memory has failed a checksum test, indicating possible memory corruption.,Multiple random fault codes; Erratic engine behavior; Engine won't start; Loss of all settings,Try disconnecting battery for 15 minutes to reset; Reflash/remap ECU if possible; Replace ECU if fault persists; Contact dealer for ECU diagnosis,Usually under the seat or in the fairing.
P0650,generic,Malfunction Indicator Lamp (MIL) Control Circuit,Check Engine Light / Instrument Cluster,info,The circuit controlling the check engine light has a fault.,Check engine light always on; Check engine light never comes on even with faults,Check MIL bulb or LED condition; Inspect wiring from ECU to dashboard; Test ECU MIL output pin; Check instrument cluster ground,Dashboard instrument cluster.
P0230,generic,Fuel Pump Primary Circuit Malfunction,Fuel Pump / Fuel Pump Relay,critical,The ECU is not receiving feedback that the fuel pump relay has activated correctly.,Engine cranks but won't start; Engine stalls and won't restart; No fuel pump prime sound on ignition,Listen for fuel pump prime (1–2 sec after ignition ON); Check fuel pump relay; Test fuel pump fuse; Measure fuel pressure; Replace fuel pump if no pressure,Fuel tank (pump inside) and relay near ECU.
P0351,generic,"Ignition Coil 'A' Primary/Secondary Circuit",Ignition Coil,critical,Fault detected in the ignition coil circuit – could be primary (driver) or secondary (HT) side.,No spark; Misfire; Engine won't start; Backfiring through exhaust,Check ignition coil primary resistance (typically 0.5–3 Ω); Check secondary resistance (typically 7–15 kΩ); Inspect HT lead and spark plug cap resistance; Replace ignition coil if out of spec,Mounted near or on the cylinder head.
P0443,generic,Evaporative Emission Control System Purge Control Valve Circuit,EVAP Purge Valve,info,The EVAP purge control valve or its circuit has a fault.,Fuel smell; Rough idle; Check engine light,Check EVAP purge valve solenoid wiring; Test valve for operation (12V power should open it); Check for cracked or disconnected vacuum hoses; Replace purge valve if failed,On the intake manifold or near the fuel tank.
P1602,yamaha,Control Module Power Supply Malfunction,ECU / Power Supply Circuit,critical,The ECU detected an interruption or instability in its power supply circuit.,Engine won't start; Erratic idling; Loss of memory settings; Random codes appearing,Check main battery connections for corrosion; Inspect ECU ground points; Test battery voltage (should be 12.6V+); Check main fuse and ignition switch,Near the battery or ECU, under the seat.
P1604,yamaha,Start Ability Malfunction,Engine Control System,critical,The engine is failing to start under normal cranking conditions.,Engine cranks but won't start; Delayed starting; Starting only after multiple attempts,Check fuel system pressure; Verify ignition spark presence; Check crankshaft sensor signal; Inspect starter motor circuit,Engine bay / starter circuit.
P1606,yamaha,Engine RPM Signal Switchover Malfunction,Crankshaft Position Sensor / ECU,critical,Malfunction in the circuit responsible for switching or processing the engine RPM signal.,Engine stalling; Incorrect RPM reading on dash; Starting issues; Rev limiter activating at wrong RPM,Check RPM sensor wiring harness; Inspect ECU connectors for moisture; Verify signal with oscilloscope; Replace crankshaft position sensor,Near the flywheel or alternator cover.
P1502,yamaha,Inclination Sensor / Immobilizer Communication Error,Lean Angle / Tilt Sensor,critical,Error in the inclination (tilt) sensor circuit or ECU-immobilizer communication.,Engine cuts out unexpectedly after a fall or tilt; Won't start if bike is tilted; Immobilizer light flashing,Check sensor mounting position (must be upright); Inspect connector for corrosion; Test tilt sensor voltage; Reset tilt sensor by turning ignition off/on,Under the seat or near the battery.
P0335,honda,Crankshaft Position Sensor Circuit Malfunction,CKP Sensor,critical,The ECU is not receiving a valid signal from the CKP sensor on this Honda.,Engine won't start; Backfiring; Stalling; No spark condition,Check sensor gap (Honda spec: 0.6–1.0 mm); Inspect sensor wiring harness; Check stator plate condition; Replace CKP sensor,Behind the left engine cover near the stator.
P0106,honda,Manifold Absolute Pressure Sensor Range/Performance,MAP Sensor,warning,The MAP sensor reading does not match expected values for the current operating conditions.,Hesitation; Poor power; Erratic idle; Rich or lean condition,Check MAP sensor vacuum hose condition; Test MAP sensor at idle vs WOT; Check for intake air leaks; Replace MAP sensor,Intake manifold.
P0420,honda,Catalyst System Efficiency Below Threshold,Catalytic Converter,info,The catalytic converter is not reducing emissions as effectively as required.,Check engine light only; Possible slight fuel smell from exhaust,Check for exhaust leaks before catalytic converter; Inspect O2 sensor operation (upstream and downstream); Check for engine misfires causing catalyst damage; Replace catalytic converter if degraded,On the exhaust pipe, after the engine.
P0500,tvs,Vehicle Speed Sensor Malfunction,Speedometer / VSS,info,The ECU is not receiving a valid signal from the speed sensor on this TVS motorcycle.,Speedometer not working; Erratic speed display; ABS light on (ABS models),Check sensor at front/rear wheel; Clean sensor tip and tone ring; Inspect wiring; Replace VSS,Rear wheel hub or front fork area.
P0102,tvs,Mass Air Flow Sensor Circuit Low Input,MAF Sensor,warning,The MAF sensor signal is below the expected minimum value.,Rich running condition; Black smoke; Poor throttle response,Check MAF sensor connector; Clean MAF sensor with electronics cleaner (do not touch wire); Test MAF output voltage; Replace MAF sensor,In the air intake path, after the air filter.
P0103,tvs,Mass Air Flow Sensor Circuit High Input,MAF Sensor,warning,The MAF sensor signal is above the expected maximum value.,Lean condition; Hesitation; Poor fuel economy,Check MAF sensor wiring for short to power; Test sensor at idle; Clean air filter; Replace MAF sensor,In the air intake path, after the air filter.
P0130,royalenfield,"O2 Sensor Circuit (Bank 1, Sensor 1)",O2 / Lambda Sensor,warning,The upstream O2 sensor circuit has a fault — signal missing or incorrect.,Poor fuel economy; Rough running; Check engine light; Failed emissions test,Check O2 sensor wiring and connector; Test sensor voltage at operating temperature; Check for exhaust leaks; Replace O2 sensor,On the exhaust header pipe.
P0135,royalenfield,"O2 Sensor Heater Circuit Malfunction (Bank 1, Sensor 1)",O2 Sensor Heater,warning,The internal heater element of the O2 sensor has a circuit fault.,Engine takes longer to reach closed-loop; Poor cold-start fuel economy; Check engine light,Test heater circuit resistance (typically 2–30 Ω); Check 12V supply to heater element; Inspect sensor wiring; Replace O2 sensor,O2 sensor on exhaust header.
P0201,ktm,Injector Circuit Open — Cylinder 1,Fuel Injector (Cylinder 1),critical,The fuel injector circuit for cylinder 1 has an open circuit — no current flow detected.,Engine misfire; Won't start or very rough start; Loss of power,Check injector connector and terminal pins; Test injector coil resistance (typically 11–16 Ω); Inspect wiring harness for broken wire; Replace injector if open coil,On the intake manifold, cylinder 1.
P0351,bajaj,Ignition Coil 'A' Primary Circuit Malfunction,Ignition Coil,critical,A fault has been detected in the primary winding circuit of ignition coil A.,No spark on cylinder; Engine misfire; Hard starting or no start,Measure coil primary resistance (typically 0.5–3 Ω); Check 12V supply to coil positive terminal; Inspect HT lead and spark plug cap resistance; Replace ignition coil,Mounted near the cylinder head.
P0352,bajaj,Ignition Coil 'B' Primary Circuit Malfunction,Ignition Coil B,critical,A fault has been detected in the primary winding circuit of ignition coil B (twin-cylinder models).,Misfire on second cylinder; Rough running; Loss of power,Measure coil B primary resistance; Swap coil A and B to see if fault follows; Check ECU coil driver output; Replace ignition coil B,Mounted near the second cylinder head.
P0340,suzuki,Camshaft Position Sensor Circuit Malfunction,Camshaft Position Sensor,critical,The ECU is not receiving a signal from the CMP sensor on this Suzuki.,Hard starting; Engine stalling; Timing-related poor performance,Check CMP sensor wiring and connector; Test sensor at operating temperature; Inspect target wheel (cam trigger); Replace CMP sensor,Near the valve cover / cam end.
P0562,kawasaki,System Voltage Low,Battery / Charging System,warning,Battery voltage has dropped below the threshold required for safe ECU operation on this Kawasaki.,Electrical systems failing; ECU faults triggering; Dim lights; Poor starting,Test battery – should be 12.6V+ at rest, 13.5–14.5V running; Check charging system (stator and regulator/rectifier); Inspect main ground lead to engine; Replace battery or regulator if faulty,Battery under seat, regulator typically on the frame.
P0122,hero,Throttle Position Sensor Circuit Low Voltage,Throttle Position Sensor,warning,TPS voltage is below expected minimum on this Hero model.,Stalling at idle; Poor acceleration; Engine hunting,Check TPS connector for moisture; Verify 5V reference supply; Adjust TPS if adjustable; Replace TPS,Side of throttle body.
