code,brand,title,affectedPart,severity,problem,symptoms,actions,location
P0353,yamaha,Ignition Coil 'C' Primary Circuit,Ignition Coil 3,critical,Malfunction in primary control circuit of Ignition Coil C (Cylinder 3).,No spark on Cylinder 3; Loss of power; Misfire,Measure coil 3 primary resistance; Swap coils to test; Check wiring,Mounted near cylinder head 3
P0354,yamaha,Ignition Coil 'D' Primary Circuit,Ignition Coil 4,critical,Malfunction in primary control circuit of Ignition Coil D (Cylinder 4).,No spark on Cylinder 4; Loss of power; Misfire; Engine runs on three cylinders,Measure coil 4 primary resistance; Check harness trigger wire; Replace coil,Mounted near cylinder head 4
P0443,yamaha,EVAP Purge Control Valve Circuit Fault,EVAP Purge Valve,warning,Malfunction in the Evaporative Emissions (EVAP) purge solenoid valve circuit.,Strong petrol fuel smell; Rough idle speed; Engine surging at traffic stops,Check EVAP purge valve connector; Verify solenoid resistance (30-50 ohms); Check for cracked hoses,Near throttle body or fuel tank
P0500,yamaha,Vehicle Speed Sensor Malfunction,VSS / Speedometer,info,No speed signal received by the ECU.,Speedometer displays 0; Speed-dependent features (ABS/TCS) disabled; ABS light on,Clean sensor tip and tone ring of metal dust; Verify air gap; Check wiring harness,Rear wheel hub or front fork caliper mount
P0501,yamaha,Vehicle Speed Sensor Range/Performance,VSS Sensor,warning,Speed signal is erratic or drops out under acceleration.,Tachometer jumps; Speedometer behaves erratically; ABS light flashes,Inspect speed sensor tone ring alignment; Clean sensor; Verify wiring connector,Front or rear wheel assembly
P0505,yamaha,Idle Control System Fault,ISC Valve / Stepper Motor,warning,The Idle Speed Control system is unable to regulate air bypass to maintain target idle.,Fluctuating idle speed; Engine stalls when coming to a stop; Low idle when cold,Clean carbon build-up in throttle body and ISC bypass; Check ISC connector; Perform ISC reset,Mounted on the throttle body
P0562,yamaha,System Voltage Low,Battery / Stator,warning,System operating voltage has dropped below the threshold for reliable operations.,Dim lights; Speedometer resets; ABS system disabled; Hard starting,Test battery voltage (12.6V rest, 14V running); Check voltage regulator; Inspect stator,Battery tray / frame-mounted rectifier
P0563,yamaha,System Voltage High,Regulator / Rectifier,warning,System operating voltage is above the safe threshold (overcharging).,Lights burn out; Battery swelling or hot; Electronic components failure,Test rectifier output (should not exceed 14.8V); Replace faulty voltage regulator,Battery tray / frame-mounted rectifier
P0606,yamaha,ECU Processor Fault,ECU / Engine Control Unit,critical,Internal ECU processor/microcontroller fault detected.,Engine won't start; Sudden shutoffs; Complete electrical deadlock; MIL on,Disconnect battery to reset; Verify ground pins; Replace ECU if internal fault persists,Under the seat or behind fairing
P0705,yamaha,Gear Position Sensor Circuit Malfunction,Gear Position Sensor,warning,ECU receives invalid or erratic signal from the gear position switch.,Neutral light behaves erratically; Gear indicator on speedometer is blank or incorrect,Clean gear position switch connector; Verify switch contact pin tension; Replace switch,Left side crankcase near gear shift shaft
P0850,yamaha,Neutral Switch Input Circuit Fault,Neutral Switch,warning,ECU detects open circuit or failure in neutral safety switch circuit.,Engine won't start unless clutch is pulled in; Neutral indicator light out,Check neutral switch continuity; Verify wiring harness connection; Clean switch contacts,Bottom left side of crankcase
P1502,yamaha,Inclination Sensor Error (Tilt),Tilt Sensor,critical,Tilt sensor reports bike is lying down or sensor is loose.,Engine cuts out instantly; Fuel pump will not prime; Bike won't restart,Place motorcycle upright; Turn ignition key OFF and then ON; Check sensor mount,Under the seat or near the battery
P1602,yamaha,ECU Power Supply Circuit Fault,ECU Power,critical,ECU detects unstable or interrupted main power supply voltage.,Engine stalling; Instrument cluster resets; Hard starting; Random sensor codes,Check battery terminals for tightness; Verify main fuse; Check ground connections,Near battery or main starter relay
P1604,yamaha,Start Ability Malfunction,Starter / Fuel,warning,Engine fails to start within the expected number of cranks.,Long cranking before starting; Failed start attempts; Rough initial idle,Check fuel pump pressure; Inspect spark plug condition; Verify battery cranking amps,Engine / starter motor assembly
P1606,yamaha,Engine RPM Signal Processing Failure,Crankshaft Sensor,critical,Internal ECU fault in processing the engine RPM signal.,Erratic RPM reading on tachometer; Stalling; Fuel cut-off; Rev limiter activates early,Inspect crankshaft sensor wiring; Clean stator area; Check ECU pins,Left side engine stator cover
P2101,yamaha,Throttle Actuator Control Motor Range,Throttle Actuator,critical,The electronic throttle valve motor range/performance has exceeded limits.,Engine enters safety mode; Stalls or high idle; Throttle twist is unresponsive,Verify butterfly valve is clean and moves freely; Check throttle actuator motor connection,Throttle body assembly
P2119,yamaha,Throttle Actuator Control Throttle Body Fault,Throttle Body / ECU,critical,ECU detects mechanical misalignment or stickiness in electronic throttle valves.,Limp home mode activated; Stalling at stop; Jerky throttle response,Clean throttle body bore; Check throttle body return spring; Reset ETV calibration,Throttle body assembly
P2135,yamaha,TPS Sensor Voltage Correlation Error,TPS Sensor,warning,ECU detects a voltage mismatch between TPS channel 1 and channel 2 signals.,Engine enters limp mode; Severe lack of power; Throttle twist is laggy or dead,Clean throttle body barrel; Recalibrate double TPS settings; Inspect TPS connector,Side of throttle body
